date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:30	208852/208852	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2003%20Sep%202025%2015:33:30%20GMT	http://spearheadproperties.local/	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/index-2.html	(from )
19:33:31	50033/50033	---MCZ	200	added ('OK')	text/css	etag:W/%2268b85fca-c371%22	http://spearheadproperties.local/wp-content/uploads/elementor/css/post-7.css?ver=1756913610	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/uploads/elementor/css/post-7d7b2.css	(from http://spearheadproperties.local/)
19:33:31	235218/235218	U-----	200	untouched ('')	image/png	etag:%22688e064f-396d2%22	http://spearheadproperties.local/wp-content/uploads/2025/08/Spearhead-logo-transparent.png	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/uploads/2025/08/Spearhead-logo-transparent.png	(from http://spearheadproperties.local/)
19:33:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2015:33:31%20GMT	http://spearheadproperties.local/${e?.bg?.image.src}	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/${e.2a1d2c.delayed	(from http://spearheadproperties.local/)
19:33:31	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2003%20Sep%202025%2015:33:31%20GMT	http://spearheadproperties.local/xmlrpc.php	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/xmlrpc.php	(from http://spearheadproperties.local/)
19:33:32	21850/21850	U-----	200	untouched ('OK')	text/css	etag:W/%22688d1a1d-555a%22	http://spearheadproperties.local/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=6.11.5	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layersliderd230.css	(from http://spearheadproperties.local/)
19:33:32	32820/32820	U-----	200	untouched ('OK')	text/css	etag:W/%2268b1fc24-8034%22	http://spearheadproperties.local/wp-content/plugins/chaty-pro/css/chaty-front.min.css?ver=3.3.21756708733	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/chaty-pro/css/chaty-front.min20a9.css	(from http://spearheadproperties.local/)
19:33:32	2553/2553	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%227aedfdb708ef1b8a96e0957d61e0b226%22	http://spearheadproperties.local/feed/	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/feed/index.html	(from http://spearheadproperties.local/)
19:33:32	9216/9216	U-----	200	untouched ('OK')	text/css	etag:W/%2268b83cb5-2400%22	http://spearheadproperties.local/wp-content/plugins/marvy-animation-addons-for-elementor-lite/elementor/assets/css/marvy-custom.css?ver=1.7.4	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/marvy-animation-addons-for-elementor-lite/elementor/assets/css/marvy-customb34d.css	(from http://spearheadproperties.local/)
19:33:32	3844/3844	U-----	200	untouched ('OK')	text/css	etag:W/%2268b83caa-f04%22	http://spearheadproperties.local/wp-content/plugins/marvy-animation-addons/elementor/assets/css/marvy-custom-pro.css?ver=1.7.0	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/marvy-animation-addons/elementor/assets/css/marvy-custom-pro7d4c.css	(from http://spearheadproperties.local/)
19:33:33	11256/11256	U-----	200	untouched ('OK')	text/css	etag:W/%225f735862-2bf8%22	http://spearheadproperties.local/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from http://spearheadproperties.local/)
19:33:33	4367/4367	U-----	200	untouched ('OK')	text/css	etag:W/%226888c843-110f%22	http://spearheadproperties.local/wp-content/plugins/revslider/public/css/sr7.css?ver=6.7.35	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/revslider/public/css/sr72837.css	(from http://spearheadproperties.local/)
19:33:33	4186/4186	U-----	200	untouched ('OK')	text/css	etag:W/%225cfaccce-105a%22	http://spearheadproperties.local/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.8.2	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-includes/js/mediaelement/wp-mediaelement.min6c2d.css	(from http://spearheadproperties.local/)
19:33:33	615/615	U-----	200	untouched ('OK')	text/css	etag:W/%22688d199c-267%22	http://spearheadproperties.local/wp-content/themes/bridge/style.css?ver=6.8.2	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/themes/bridge/style6c2d.css	(from http://spearheadproperties.local/)
19:33:34	2657/2657	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%227aedfdb708ef1b8a96e0957d61e0b226%22	http://spearheadproperties.local/comments/feed/	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/comments/feed/index.html	(from http://spearheadproperties.local/)
